PCoA1.discrete,mean.age.mo
[-0.36,-0.314], 9.681319
(-0.314,-0.269],12.756098
(-0.269,-0.223],13.559242
(-0.223,-0.178],14.763736
(-0.178,-0.132],14.392070
(-0.132,-0.0869],15.405941
(-0.0869,-0.0414],16.091324
(-0.0414,0.00404],16.870293
(0.00404,0.0495],16.255507
(0.0495,0.095],17.354839
(0.095,0.14],18.234450
(0.14,0.186],19.497674
(0.186,0.231],19.866197
(0.231,0.277],20.450000
(0.277,0.322],20.801802
(0.322,0.368],23.101266
(0.368,0.413],21.645833
(0.413,0.459],22.571429
(0.459,0.504],19.000000
