MeanDecreaseAccuracy,feature,fold,age.approx.months
0.000,Lactobacillus,1,10
0.002,UBA7182,1,10
0.002,Kineothrix,1,10
0.003,CAG303,1,10
0.004,COE1,1,10
0.003,UMGS1370,1,10
0.005,Ligilactobacillus,1,10
0.005,UBA3818,1,10
0.012,UMGS1815,1,10
0.003,UBA11957,1,10
0.002,Lactobacillus,2,10
0.003,UBA7182,2,10
0.003,Kineothrix,2,10
0.002,CAG303,2,10
0.008,COE1,2,10
0.005,UMGS1370,2,10
0.004,Ligilactobacillus,2,10
0.004,UBA3818,2,10
0.021,UMGS1815,2,10
0.005,UBA11957,2,10
0.001,Lactobacillus,3,10
0.002,UBA7182,3,10
0.002,Kineothrix,3,10
0.001,CAG303,3,10
0.002,COE1,3,10
0.006,UMGS1370,3,10
0.001,Ligilactobacillus,3,10
0.006,UBA3818,3,10
0.021,UMGS1815,3,10
0.010,UBA11957,3,10
0.001,Lactobacillus,4,10
0.002,UBA7182,4,10
0.003,Kineothrix,4,10
0.002,CAG303,4,10
0.007,COE1,4,10
0.002,UMGS1370,4,10
0.002,Ligilactobacillus,4,10
0.005,UBA3818,4,10
0.016,UMGS1815,4,10
0.002,UBA11957,4,10
0.000,Lactobacillus,5,10
0.001,UBA7182,5,10
0.006,Kineothrix,5,10
0.003,CAG303,5,10
0.004,COE1,5,10
0.009,UMGS1370,5,10
0.008,Ligilactobacillus,5,10
0.004,UBA3818,5,10
0.022,UMGS1815,5,10
0.011,UBA11957,5,10
0.009,Lactobacillus,1,16
0.002,UBA7182,1,16
0.002,Kineothrix,1,16
0.001,CAG303,1,16
0.009,COE1,1,16
0.004,UMGS1370,1,16
0.009,Ligilactobacillus,1,16
0.002,UBA3818,1,16
0.009,UMGS1815,1,16
0.022,UBA11957,1,16
0.004,Lactobacillus,2,16
0.005,UBA7182,2,16
0.004,Kineothrix,2,16
0.001,CAG303,2,16
0.008,COE1,2,16
0.005,UMGS1370,2,16
0.024,Ligilactobacillus,2,16
0.002,UBA3818,2,16
0.008,UMGS1815,2,16
0.013,UBA11957,2,16
0.001,Lactobacillus,3,16
0.008,UBA7182,3,16
0.004,Kineothrix,3,16
0.003,CAG303,3,16
0.008,COE1,3,16
0.002,UMGS1370,3,16
0.019,Ligilactobacillus,3,16
0.002,UBA3818,3,16
0.007,UMGS1815,3,16
0.010,UBA11957,3,16
0.005,Lactobacillus,4,16
0.003,UBA7182,4,16
0.003,Kineothrix,4,16
0.002,CAG303,4,16
0.009,COE1,4,16
0.003,UMGS1370,4,16
0.038,Ligilactobacillus,4,16
0.002,UBA3818,4,16
0.009,UMGS1815,4,16
0.013,UBA11957,4,16
0.008,Lactobacillus,5,16
0.005,UBA7182,5,16
0.002,Kineothrix,5,16
0.000,CAG303,5,16
0.005,COE1,5,16
0.002,UMGS1370,5,16
0.017,Ligilactobacillus,5,16
0.003,UBA3818,5,16
0.002,UMGS1815,5,16
0.009,UBA11957,5,16
0.005,Lactobacillus,1,22
0.002,UBA7182,1,22
0.003,Kineothrix,1,22
0.002,CAG303,1,22
0.002,COE1,1,22
0.002,UMGS1370,1,22
0.007,Ligilactobacillus,1,22
0.002,UBA3818,1,22
0.005,UMGS1815,1,22
0.003,UBA11957,1,22
0.009,Lactobacillus,2,22
0.004,UBA7182,2,22
0.004,Kineothrix,2,22
0.003,CAG303,2,22
0.001,COE1,2,22
0.003,UMGS1370,2,22
0.005,Ligilactobacillus,2,22
0.001,UBA3818,2,22
0.009,UMGS1815,2,22
0.005,UBA11957,2,22
0.005,Lactobacillus,3,22
0.004,UBA7182,3,22
0.003,Kineothrix,3,22
0.007,CAG303,3,22
0.001,COE1,3,22
0.001,UMGS1370,3,22
0.002,Ligilactobacillus,3,22
0.001,UBA3818,3,22
0.012,UMGS1815,3,22
0.004,UBA11957,3,22
0.007,Lactobacillus,4,22
0.004,UBA7182,4,22
0.004,Kineothrix,4,22
0.007,CAG303,4,22
0.002,COE1,4,22
0.001,UMGS1370,4,22
0.008,Ligilactobacillus,4,22
0.002,UBA3818,4,22
0.010,UMGS1815,4,22
0.004,UBA11957,4,22
0.006,Lactobacillus,5,22
0.004,UBA7182,5,22
0.003,Kineothrix,5,22
0.004,CAG303,5,22
0.001,COE1,5,22
0.001,UMGS1370,5,22
0.006,Ligilactobacillus,5,22
0.002,UBA3818,5,22
0.006,UMGS1815,5,22
0.008,UBA11957,5,22
0.001,Lactobacillus,1,28
0.003,UBA7182,1,28
0.001,Kineothrix,1,28
0.002,CAG303,1,28
0.002,COE1,1,28
0.001,UMGS1370,1,28
0.001,Ligilactobacillus,1,28
0.003,UBA3818,1,28
0.003,UMGS1815,1,28
0.005,UBA11957,1,28
0.000,Lactobacillus,2,28
0.003,UBA7182,2,28
0.003,Kineothrix,2,28
0.004,CAG303,2,28
0.004,COE1,2,28
0.001,UMGS1370,2,28
0.000,Ligilactobacillus,2,28
0.003,UBA3818,2,28
0.003,UMGS1815,2,28
0.008,UBA11957,2,28
0.001,Lactobacillus,3,28
0.001,UBA7182,3,28
0.003,Kineothrix,3,28
0.002,CAG303,3,28
0.002,COE1,3,28
0.001,UMGS1370,3,28
0.000,Ligilactobacillus,3,28
0.001,UBA3818,3,28
0.001,UMGS1815,3,28
0.006,UBA11957,3,28
0.000,Lactobacillus,4,28
0.000,UBA7182,4,28
0.005,Kineothrix,4,28
0.004,CAG303,4,28
0.003,COE1,4,28
0.000,UMGS1370,4,28
0.001,Ligilactobacillus,4,28
0.002,UBA3818,4,28
0.001,UMGS1815,4,28
0.006,UBA11957,4,28
0.001,Lactobacillus,5,28
0.002,UBA7182,5,28
0.001,Kineothrix,5,28
0.004,CAG303,5,28
0.003,COE1,5,28
0.002,UMGS1370,5,28
0.001,Ligilactobacillus,5,28
0.003,UBA3818,5,28
0.006,UMGS1815,5,28
0.008,UBA11957,5,28
